name,satid,source,launchsite,lat,long
OKEAN O,25860,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
QUIKSCAT,25789,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
IRS P4,25758,India,SRIHARIKOTA (SRI),13.7259,80.2266
TUBSAT,25757,Germany,SRIHARIKOTA (SRI),13.7259,80.2266
KITSAT 3,25756,South Korea,SRIHARIKOTA (SRI),13.7259,80.2266
OSCAR 36,25693,United Kingdom,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
LANDSAT 7,25682,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
SUNSAT,25636,South Africa,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
ROCSAT 1,25616,Taiwan,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
SCD 2,25504,Brazil,Pegasus launched from Eastern Range Air Space (ERAS),28.484167,-80.5725
TECHSAT 1B,25397,Israel,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
TMSAT,25396,Thailand,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
FASAT B,25395,Chile,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
RESURS O1-N4,25394,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
SPOT 4,25260,France,FRENCH GUIANA (FRGUI),5.236,-52.775
IRS 1D,24971,India,SRIHARIKOTA (SRI),13.7259,80.2266
ORBVIEW 2,24883,United States,Pegasus launched from Western Range Air Space (WRAS),32.84256,-112.258
ADEOS,24277,Japan,TANEGASHIMA SPACE CENTER (TNSTA),30.37500382,130.9576
TOMS EP,23940,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
IRS B3,23827,India,SRIHARIKOTA (SRI),13.7259,80.2266
IRS 1C,23751,India,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
RADARSAT,23710,Canada,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
SICH 1,23657,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
ERS 2,23560,European Space Agency ,FRENCH GUIANA (FRGUI),5.236,-52.775
RESURS O1,23342,Commonwealth of Independent States (former USSR),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
IRS P2,23323,India,SRIHARIKOTA (SRI),13.7259,80.2266
OKEAN 4,23317,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
SPOT 3,22823,France,FRENCH GUIANA (FRGUI),5.236,-52.775
TOPEX/POSEIDON,22076,United States,FRENCH GUIANA (FRGUI),5.236,-52.775
IRS 1B,21688,India,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
ERS 1,21574,European Space Agency ,FRENCH GUIANA (FRGUI),5.236,-52.775
OKEAN 3,21397,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
OKEAN 2,20510,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
MOS 1B,20478,Japan,TANEGASHIMA SPACE CENTER (TNSTA),30.37500382,130.9576
SPOT 2,20436,France,FRENCH GUIANA (FRGUI),5.236,-52.775
OKEAN 1,19274,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
IRS 1A,18960,India,TYURATAM MISSILE AND SPACE COMPLEX (TTMTR),45.6548126,63.32108575
COSMOS 1869,18214,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
MOS 1A,17527,Japan,TANEGASHIMA SPACE CENTER (TNSTA),30.37500382,130.9576
COSMOS 1766,16881,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
SPOT 1,16613,France,FRENCH GUIANA (FRGUI),5.236,-52.775
COSMOS 1602,15331,Commonwealth of Independent States (former USSR),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR),62.9279,40.5748
LANDSAT 5,14780,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
LANDSAT 4,13367,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
SEASAT 1,10967,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
LANDSAT 3,10702,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
LANDSAT 2,7615,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
LANDSAT 1,6126,United States,AIR FORCE WESTERN TEST RANGE (AFWTR),32.84256,-112.258
